location_id,name,city,country,latitude,longitude,rating,num_reviews,price_level,category
26559225,O Bocaneiro,Quinta Do Conde,Portugal,38.55197,-9.043364,4.8,13,$$ - $$$,restaurant
4460944,Sabores da Quinta,Quinta Do Conde,Portugal,38.552757,-9.041173,3.9,216,$$ - $$$,restaurant
16659625,"Pizza Lovers, Lda",Azeitao,Portugal,38.54503,-9.03277,4.2,97,$$ - $$$,restaurant
7649236,Restaurante Vale das Sobreiras,Setubal,Portugal,38.543266,-9.032615,4.1,35,$$ - $$$,restaurant
27225193,Brasa Alta,Sesimbra,Portugal,38.553093,-9.038655,,0,,restaurant
27225730,Frango Da Quinta,Sesimbra,Portugal,38.5548,-9.043132,,0,,restaurant
27809929,Pastelaria Guadiana,Sesimbra,Portugal,38.554127,-9.040934,,0,,restaurant
20062957,Churrasqueira Bico Amarelo,Quinta Do Conde,Portugal,38.554867,-9.043347,4.7,3,,restaurant
27810411,Pastelaria Doce Amargo,Sesimbra,Portugal,38.553658,-9.048233,,0,,restaurant
27809672,Pizza Lovers Portugal,Setubal,Portugal,38.54531,-9.03093,,0,,restaurant
4401383,Sushistugan,Haninge,Sweden,59.20424,18.197905,4.0,22,$$ - $$$,restaurant
23848582,Glod Vildmarkskok,Stockholm,Sweden,59.2004,18.196405,5.0,2,,attraction
27994277,Lidkopings Pizzeria,Lidkoping,Sweden,59.19096,18.190533,,0,,restaurant
5958783,Vendelso Pizzabutik,Haninge,Sweden,59.19264,18.18603,2.6,5,,restaurant
5972561,Vendelso Kok & Bar,Haninge,Sweden,59.18506,18.1814,3.3,44,$$ - $$$,restaurant
7132980,Arsta Slott,Haninge,Sweden,59.10745,18.19435,3.7,15,,attraction
7148104,Horsfjardens Vandrarhem i Haninge,Haninge,Sweden,59.09791,18.19716,4.7,3,,hotel
13196950,Mias Pizza & Kok,Handen,Sweden,59.180485,18.181026,4.2,13,,restaurant
8264499,Pizzeria La Carda,Haninge,Sweden,59.17972,18.180416,3.3,6,$$ - $$$,restaurant
27916536,Tribowl Sthlm,Stockholm,Sweden,59.176884,18.176214,5.0,4,,restaurant
26358289,Kyrkbacken Hamn,Sankt Ibb,Sweden,55.910294,12.672715,4.0,1,,attraction
8455158,Church of Saint Ibb,Landskrona Municipality,Sweden,55.90957,12.6749,4.4,33,,attraction
2613025,Island of Ven,Landskrona,Sweden,55.91043,12.676108,4.7,237,,attraction
6584547,Prastasvangens Konferenspensionat & Spa,Sankt Ibb,Sweden,55.91437,12.68691,4.1,9,,hotel
23218985,Vaffelmakeri,Sankt Ibb,Sweden,55.91067,12.67692,4.9,16,$,restaurant
27525538,Libitum Social Dining M/s Tycho Brahe,Helsingoer,Denmark,56.033096,12.616192,4.6,7,,restaurant
24160154,Hamlet And Ophelia,Helsingoer,Denmark,56.033676,12.615092,3.5,2,,attraction
26346731,Helsingor Station,Helsingoer,Denmark,56.03355,12.614495,3.3,3,,attraction
15426368,Strejf,Helsingoer,Denmark,56.033337,12.614492,4.4,93,$$ - $$$,restaurant
24177125,Zilleri,Helsingoer,Denmark,56.03344,12.6135,4.2,19,$$ - $$$,restaurant
32890369,Porcino Harrachov,Harrachov,Czech Republic,50.03979,14.666391,,0,,restaurant
15801209,Penzion Rokytka,Prague,Czech Republic,50.03796,14.63618,,0,,hotel
28058071,Pizza Momento,Prague,Czech Republic,50.03331,14.5966,,0,,restaurant
15811666,SmartGuide,Prague,Czech Republic,50.03532,14.59253,4.9,7,,attraction
18313820,SmartGuide,Prague,Czech Republic,50.03503,14.59242,,0,,attraction
12624523,Ha Long Restaurant,Prague,Czech Republic,50.032887,14.59671,4.4,25,$$ - $$$,restaurant
7235296,Prague Foodies,Prague,Czech Republic,50.03186,14.59986,4.9,202,,attraction
6639061,Hotel U Karla,Prague,Czech Republic,50.03195,14.59796,4.5,12,$,hotel
28057891,Ll Market,Prague,Czech Republic,50.039513,14.592277,,0,,restaurant
